event_date,ticker,mention_count,avg_tone,rolling_mean,rolling_std,z_score
2024-06-13,MSFT,91.0,0.0663233522780918,40.43333333333333,22.510814769998785,2.246327695524341
2024-07-03,MSFT,91.0,-0.1726002544353119,41.1,24.022044473559177,2.077258663596449
2024-07-19,MSFT,159.0,-2.9802946609025165,37.9,30.367121512674153,3.987865624651226
2024-09-17,MSFT,71.0,0.9976125228836454,32.2,16.60577381930549,2.336536702366258
2024-11-13,MSFT,64.0,1.1183631075652207,29.266666666666666,16.374777352175943,2.121148433735365
2024-11-20,MSFT,70.0,2.3154621482300897,31.6,18.637374389595003,2.0603760592714284
2024-02-16,NKE,25.0,0.0023578428559628,2.033333333333333,4.544669733710663,5.053539203588
2024-03-21,NKE,20.0,1.3851525255747823,2.7666666666666666,4.116269932951378,4.186638294874161
2024-03-22,NKE,31.0,0.1602858508766209,3.8,6.562169531909188,4.144970633223868
2024-06-21,NKE,12.0,1.9865511203770692,2.1,2.564344374097505,3.8606359192626787
2024-06-24,NKE,10.0,0.0140223342463343,2.433333333333333,2.884959012836601,2.622798671661832
2024-06-27,NKE,23.0,0.761986496618783,3.3,4.662025606817352,4.22563101566675
2024-06-28,NKE,59.0,-0.5226577484486312,5.233333333333333,11.165474288714924,4.815439566325388
2024-08-28,NKE,4.0,0.3112585336345567,1.1666666666666667,1.116748152799734,2.537128291844539
2024-08-30,NKE,7.0,1.922925244413637,1.3,1.5120207989811956,3.7697894128445046
2024-09-19,NKE,12.0,1.680786603632061,1.8,2.426861176996699,4.2029598135575075
2024-09-20,NKE,61.0,-0.0014356824511254,3.8,11.071554107027051,5.166393032726589
2024-10-02,NKE,33.0,-0.3636872485417105,6.233333333333333,12.650973339501654,2.1157792328191767
2024-12-10,NKE,3.0,2.7357799148416317,0.7666666666666667,1.0400044208571482,2.147426769102261
2024-12-13,NKE,3.0,0.469720820094604,0.7333333333333333,0.9444331755019088,2.400028636713308
2024-12-16,NKE,3.0,1.3146861892181665,0.9,1.028892943728979,2.0410286733904957
2024-12-19,NKE,15.0,-0.3151494983960122,1.3666666666666667,2.7603514685425776,4.938984578123858
2024-12-20,NKE,14.0,-0.3264083493454816,1.8333333333333333,3.5823642100341275,3.3962673679544046
2024-02-12,NVDA,36.0,0.5061245944995456,9.966666666666667,7.480933619281219,3.479957804495886
2024-02-13,NVDA,37.0,0.9984177378496704,11.1,8.84093145350179,2.929555571855645
2024-02-14,NVDA,33.0,1.2406474147509103,12.0,9.641862747487094,2.178002378790666
2024-02-15,NVDA,47.0,0.9541840956949812,13.533333333333333,11.340295359935507,2.9511283087830438
2024-02-20,NVDA,43.0,0.1324169648089238,16.466666666666665,12.629285434050207,2.100937022279661
2024-02-21,NVDA,87.0,0.9082548610173526,18.8,18.039038127120975,3.780689387061277
2024-02-22,NVDA,194.0,1.0943147456517828,24.8,36.6854288465485,4.6121854185689575
2024-02-23,NVDA,141.0,1.409418198150706,29.3,42.16973093222853,2.648819367131234
2024-05-21,NVDA,52.0,0.0723634837525384,11.833333333333334,10.511351280740547,3.8212657529828875
2024-05-22,NVDA,79.0,0.188298695848056,13.833333333333334,16.12897015190118,4.04034889102856
2024-05-23,NVDA,167.0,0.9121566865237262,18.966666666666665,32.277336271470865,4.586293369697186
2024-06-25,NVDA,92.0,-0.6114208656413871,29.5,22.4633801614063,2.7823061155942814
2024-07-31,NVDA,45.0,-0.3895538714325087,16.833333333333332,11.359587575482529,2.479550113901931
2024-08-28,NVDA,65.0,0.4568907511984792,22.266666666666666,14.029361657101395,3.0459927099892345
2024-08-29,NVDA,100.0,0.3119731606331808,24.733333333333334,19.960190264681813,3.770839138735359
2024-08-30,NVDA,71.0,0.3864934586878709,25.6,21.384170748960305,2.123065726184745
2024-10-15,NVDA,39.0,-0.2469351459237743,13.5,9.793558755807217,2.60375218404438
2024-11-18,NVDA,49.0,0.0886861969972328,12.466666666666667,9.182942708174167,3.9783906416854045
2024-11-19,NVDA,37.0,0.3930674416404627,13.633333333333333,9.994768746641938,2.337889675988496
2024-11-20,NVDA,68.0,0.4381011133443899,15.3,14.081413526224974,3.7425220061787448
2024-11-21,NVDA,82.0,0.1967671663295689,17.533333333333335,18.615405806302835,3.4630814572325592
2024-01-26,PFE,36.0,-1.1269512738342131,18.153846153846153,8.28826788993844,2.1531825567339857
2024-01-30,PFE,49.0,0.091652660427531,18.933333333333334,10.221455909973892,2.9415248602039377
2024-02-20,PFE,50.0,-2.088166940133952,20.7,11.911020686452671,2.4599067343846666
2024-03-18,PFE,46.0,1.129699920901398,20.833333333333332,11.7328990253999,2.1449657592880285
2024-05-01,PFE,56.0,1.7538435003511634,22.566666666666666,10.516598812102355,3.179101335962224
2024-07-30,PFE,41.0,0.55364450671934,15.133333333333333,8.609270598017297,3.0045131433810113
2024-08-22,PFE,39.0,0.2715451705633611,13.366666666666667,9.136827085777773,2.805496163239615
2024-08-23,PFE,41.0,0.6811244536184529,14.4,10.407556936155112,2.5558351650802402
2024-08-28,PFE,39.0,0.9009115743961168,15.533333333333333,11.521294627126652,2.036808138854021
